Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuiteFour,,,2018-11-08 14:16:54,2018-11-08 14:17:00,5.368s,FAILED
,,,,,,
Test Cases/TestFour_DataDrivenTesting,,,2018-11-08 14:16:55,2018-11-08 14:16:58,3.341s,FAILED
Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(CountryInfoSOAPService/GetCurrency)),,,2018-11-08 14:16:55,2018-11-08 14:16:58,2.534s,PASSED
Statement - curr = Currency.toString(),,,2018-11-08 14:16:58,2018-11-08 14:16:58,0.014s,PASSED
"Statement - println("".. Value of curr is : "" + curr)",,,2018-11-08 14:16:58,2018-11-08 14:16:58,0.005s,PASSED
verifyElementText,,,2018-11-08 14:16:58,2018-11-08 14:16:58,0.309s,FAILED
,,,,,,
Test Cases/TestFour_DataDrivenTesting,,,2018-11-08 14:16:58,2018-11-08 14:16:59,0.712s,FAILED
Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(CountryInfoSOAPService/GetCurrency)),,,2018-11-08 14:16:58,2018-11-08 14:16:59,0.644s,PASSED
Statement - curr = Currency.toString(),,,2018-11-08 14:16:59,2018-11-08 14:16:59,0.002s,PASSED
"Statement - println("".. Value of curr is : "" + curr)",,,2018-11-08 14:16:59,2018-11-08 14:16:59,0.002s,PASSED
verifyElementText,,,2018-11-08 14:16:59,2018-11-08 14:16:59,0.046s,FAILED
,,,,,,
Test Cases/TestFour_DataDrivenTesting,,,2018-11-08 14:16:59,2018-11-08 14:17:00,0.713s,FAILED
Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(CountryInfoSOAPService/GetCurrency)),,,2018-11-08 14:16:59,2018-11-08 14:17:00,0.649s,PASSED
Statement - curr = Currency.toString(),,,2018-11-08 14:17:00,2018-11-08 14:17:00,0.001s,PASSED
"Statement - println("".. Value of curr is : "" + curr)",,,2018-11-08 14:17:00,2018-11-08 14:17:00,0.001s,PASSED
verifyElementText,,,2018-11-08 14:17:00,2018-11-08 14:17:00,0.041s,FAILED
