Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuiteOne,,,2018-11-06 15:10:01,2018-11-06 15:10:13,12.360s,PASSED
,,,,,,
Test Cases/TestTwo_APIChaining,,,2018-11-06 15:10:02,2018-11-06 15:10:09,6.376s,PASSED
Statement - response1 = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(CountryInfoSOAPService/GetCountryListByNames)),,,2018-11-06 15:10:04,2018-11-06 15:10:06,2.262s,PASSED
Statement - xml1 = responseBodyContent,,,2018-11-06 15:10:06,2018-11-06 15:10:08,1.247s,PASSED
Statement - dataValue = new groovy.util.XmlSlurper().parseText(xml1),,,2018-11-06 15:10:08,2018-11-06 15:10:08,0.189s,PASSED
Statement - countryCode = sISOCode.text(),,,2018-11-06 15:10:08,2018-11-06 15:10:08,0.050s,PASSED
Statement - countryCode = countryCode,,,2018-11-06 15:10:08,2018-11-06 15:10:08,0.039s,PASSED
"Statement - println("".... value for Global Variable is : "" + countryCode)",,,2018-11-06 15:10:08,2018-11-06 15:10:08,0.035s,PASSED
sendRequest,,,2018-11-06 15:10:08,2018-11-06 15:10:09,0.742s,PASSED
,,,,,,
Test Cases/TestOne,,,2018-11-06 15:10:09,2018-11-06 15:10:13,4.146s,PASSED
sendRequest,,,2018-11-06 15:10:09,2018-11-06 15:10:10,0.856s,PASSED
sendRequestAndVerify,,,2018-11-06 15:10:10,2018-11-06 15:10:13,2.825s,PASSED
